Subject,SubName,Condition,SNS,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain,Include,IRI_Total,IRI_EC,IRI_PT,IRI_distress,IRI_fantasy,MPSS_Total,MPSS_friend,RSE
1,153,-1,1,21,1,19,1,1,107,1,1,8,8,-6,0,1,,,,,,,,
1,153,-1,1,22,1,19,0,,,,1,13,13,0,5,1,,,,,,,,
1,153,-1,1,23,1,19,0,0,815,3,1,24,24,0,12,1,,,,,,,,
1,153,-1,1,24,1,19,1,0,524,3,0,-18,9,-18,0,1,,,,,,,,
1,153,-1,1,25,1,19,0,0,619,3,0,0,7,0,4,1,,,,,,,,
1,153,-1,1,26,1,19,1,1,512,0,0,-3.75,10,-3.75,0,1,,,,,,,,
1,153,-1,1,27,1,19,1,1,1469,1,1,5,5,-3.13,0,1,,,,,,,,
1,153,-1,1,28,1,19,1,1,499,0,0,-15,12,-15,0,1,,,,,,,,
1,153,-1,1,29,1,19,1,0,680,3,0,-10.5,6,-10.5,0,1,,,,,,,,
1,153,-1,1,30,1,19,0,0,621,3,1,11,11,0,6,1,,,,,,,,
1,153,-1,1,1,1,19,1,1,213,1,1,9,9,-11.25,0,1,,,,,,,,
1,153,-1,1,2,1,19,1,,,,1,6,6,-7.5,0,1,,,,,,,,
1,153,-1,1,3,1,19,1,0,568,3,0,-21,12,-21,0,1,,,,,,,,
1,153,-1,1,4,1,19,0,1,1085,1,1,19,19,0,8,1,,,,,,,,
1,153,-1,1,5,1,19,0,0,394,3,0,0,12,0,5,1,,,,,,,,
1,153,-1,1,6,1,19,1,0,912,3,0,-13.5,9,-13.5,0,1,,,,,,,,
1,153,-1,1,7,1,19,1,1,1126,1,1,10,10,-16.25,0,1,,,,,,,,
1,153,-1,1,8,1,19,1,1,644,0,0,-3,6,-3,0,1,,,,,,,,
1,153,-1,1,9,1,19,1,0,1138,3,0,-12,12,-12,0,1,,,,,,,,
1,153,-1,1,10,1,19,1,,,,1,5,5,-6.88,0,1,,,,,,,,
1,153,-1,1,11,1,19,1,1,701,0,0,-2.75,2,-2.75,0,1,,,,,,,,
1,153,-1,1,12,1,19,1,1,537,0,0,-3,12,-3,0,1,,,,,,,,
1,153,-1,1,13,1,19,1,0,639,3,1,5,5,-2.5,0,1,,,,,,,,
1,153,-1,1,14,1,19,1,1,556,0,0,-5.63,5,-5.63,0,1,,,,,,,,
1,153,-1,1,15,1,19,1,1,298,0,0,-3,4,-3,0,1,,,,,,,,
1,153,-1,1,16,1,19,1,1,416,1,1,4,4,-6,0,1,,,,,,,,
1,153,-1,1,17,1,19,0,0,477,3,1,5,5,0,2,1,,,,,,,,
1,153,-1,1,18,1,19,1,1,83,1,1,9,9,-2.25,0,1,,,,,,,,
1,153,-1,1,19,1,19,0,0,712,3,0,0,26,0,10,1,,,,,,,,
1,153,-1,1,20,1,19,1,1,1782,1,1,6,6,-1.5,0,1,,,,,,,,
1,153,-1,1,21,1,19,1,1,436,1,1,10,10,-6.25,0,1,,,,,,,,
1,153,-1,1,22,1,19,1,0,514,3,0,-6.75,9,-6.75,0,1,,,,,,,,
1,153,-1,1,23,1,19,1,1,800,1,1,8,8,-3,0,1,,,,,,,,
1,153,-1,1,24,1,19,1,0,293,3,0,-11.25,10,-11.25,0,1,,,,,,,,
1,153,-1,1,25,1,19,0,0,298,3,1,5,5,0,3,1,,,,,,,,
1,153,-1,1,26,1,19,1,1,431,1,1,2,2,-1.75,0,1,,,,,,,,
1,153,-1,1,27,1,19,0,1,437,0,0,0,28,0,13,1,,,,,,,,
1,153,-1,1,28,1,19,1,,,,1,8,8,-11,0,1,,,,,,,,
1,153,-1,1,29,1,19,0,0,665,3,0,0,25,0,10,1,,,,,,,,
1,153,-1,1,30,1,19,1,1,583,0,0,-1.88,5,-1.88,0,1,,,,,,,,
1,153,1,1,1,1,19,1,1,112,0,0,-3.75,2,-3.75,0,1,,,,,,,,
1,153,1,1,2,1,19,0,1,525,1,1,17,17,0,9,1,,,,,,,,
1,153,1,1,3,1,19,1,0,267,3,0,-15.75,9,-15.75,0,1,,,,,,,,
1,153,1,1,4,1,19,1,1,311,0,0,-8.75,10,-8.75,0,1,,,,,,,,
1,153,1,1,5,1,19,0,0,349,3,1,3.25,3.25,0,1,1,,,,,,,,
1,153,1,1,6,1,19,1,1,594,0,0,-12,6,-12,0,1,,,,,,,,
1,153,1,1,7,1,19,1,0,448,3,1,6,6,-9,0,1,,,,,,,,
1,153,1,1,8,1,19,1,1,341,1,1,12,12,-18,0,1,,,,,,,,
1,153,1,1,9,1,19,1,0,267,3,1,9,9,-9,0,1,,,,,,,,
